,action1,action2,action3,action4,action5,epsilon,lr,reward1,reward2,reward3,reward4,reward5,total_reward
0,"[0.9, 0.1]","[0.2, 0.7]","[0.4, 0.7]","[0.6, 0.3]","[0.1, 0.9]",1.00,0.50,4.16,33.25,-73.61,-47.84,34.40,-49.64
1,"[0.7, 0.0]","[0.7, 0.4]","[0.5, 0.0]","[0.5, 0.9]","[0.0, 0.8]",0.98,0.50,55.93,7.64,-0.05,25.16,16.65,105.33
2,"[0.5, 0.3]","[0.3, 0.4]","[0.7, 0.2]","[0.5, 0.9]","[0.4, 0.5]",0.95,0.50,4.41,-1.48,17.91,28.40,-7.35,41.89
3,"[0.0, 0.9]","[0.0, 0.1]","[0.8, 0.7]","[0.6, 0.9]","[0.2, 0.0]",0.93,0.50,85.98,0.63,-0.38,1.92,-0.25,87.89
4,"[0.5, 0.5]","[0.3, 0.4]","[0.5, 0.7]","[0.5, 0.7]","[0.8, 0.1]",0.90,0.50,1.70,-1.94,34.08,-53.99,2.54,-17.61
5,"[0.1, 0.7]","[0.6, 0.0]","[0.4, 0.2]","[0.2, 0.3]","[0.0, 0.1]",0.88,0.50,46.78,30.36,-6.07,4.34,11.95,87.36
6,"[0.5, 0.9]","[0.5, 0.3]","[0.3, 0.7]","[0.9, 0.9]","[0.5, 0.4]",0.85,0.50,18.90,-9.69,12.19,19.00,2.61,43.01
7,"[0.2, 0.7]","[0.6, 0.0]","[0.5, 0.7]","[0.3, 0.7]","[0.9, 0.1]",0.81,0.50,12.49,19.50,11.01,-2.16,36.21,77.05
8,"[0.5, 0.8]","[0.0, 0.2]","[0.6, 0.7]","[0.5, 0.9]","[0.6, 0.9]",0.78,0.50,22.69,3.53,-0.97,-8.65,-59.88,-43.27
9,"[0.8, 0.0]","[0.7, 0.4]","[0.1, 0.8]","[0.6, 0.6]","[0.7, 0.4]",0.74,0.50,61.54,5.13,19.95,38.50,-89.25,35.87
10,"[0.7, 0.4]","[0.3, 0.2]","[0.5, 0.7]","[0.8, 0.7]","[0.9, 0.1]",0.70,0.50,10.38,22.07,26.48,-33.93,-3.00,21.99
11,"[0.0, 0.1]","[0.7, 0.2]","[0.9, 0.5]","[0.5, 0.0]","[0.0, 0.8]",0.65,0.50,28.87,54.19,24.08,-0.24,105.83,212.72
12,"[0.8, 0.0]","[0.9, 0.4]","[0.1, 0.7]","[0.1, 0.0]","[0.4, 0.0]",0.60,0.50,67.21,4.72,15.60,-0.43,8.66,95.76
13,"[0.8, 0.0]","[0.5, 0.9]","[0.5, 0.7]","[0.1, 0.2]","[0.0, 0.8]",0.54,0.50,65.00,67.15,-28.37,6.17,38.25,148.20
14,"[0.4, 0.5]","[0.5, 0.9]","[0.9, 0.5]","[0.4, 0.4]","[0.0, 0.8]",0.48,0.48,14.73,47.44,9.21,32.72,21.85,125.94
15,"[0.2, 0.4]","[0.1, 0.3]","[0.9, 0.5]","[0.4, 0.4]","[0.1, 0.6]",0.40,0.40,8.56,28.43,20.89,32.25,8.29,98.43
16,"[0.8, 0.0]","[0.5, 0.9]","[0.9, 0.5]","[0.4, 0.4]","[0.0, 0.8]",0.30,0.30,61.06,67.55,8.80,35.56,20.92,193.90
17,"[0.8, 0.0]","[0.5, 0.9]","[0.9, 0.5]","[0.4, 0.4]","[0.0, 0.8]",0.18,0.18,59.57,69.33,9.62,34.94,22.32,195.78
18,"[0.8, 0.0]","[0.5, 0.9]","[0.9, 0.5]","[0.4, 0.4]","[0.0, 0.8]",0.01,0.01,68.72,63.01,9.13,31.76,24.58,197.21
19,"[0.8, 0.0]","[0.5, 0.9]","[0.9, 0.5]","[0.4, 0.4]","[0.0, 0.8]",0.01,0.01,61.89,66.04,8.14,33.52,21.51,191.10
